player_name,team,raptor_box_offense,raptor_box_defense.raptor_box_total,predator_offense,predator_defense,predator_total
Alec Burks,UTA,0.732952123,-2.927724198,-2.194772076,-0.041602323,-2.647626336,-2.68922866
Alec Burks,CLE,-0.274657761,-1.086901504,-1.361559266,-0.077129012,-1.448606748,-1.52573576
Alec Burks,SAC,-3.207523296,0.588688745,-2.618834551,-3.048468062,0.36862884,-2.679839222
Deonte Burton,OKC,-19.16213798,-7.562579315,-26.72471729,-21.59555053,0.917040581,-20.67850995
Deonte Burton,OKC,-5.067977735,2.470111989,-2.597865746,-5.476093681,1.921466776,-3.554626905
Jimmy Butler,PHI,5.548754077,2.596362053,8.14511613,6.69940397,2.415281821,9.114685791
Jimmy Butler,PHI,2.955126559,2.072845783,5.027972341,2.865997202,2.058479086,4.924476287
Jimmy Butler,MIN,3.706969755,1.146596472,4.853566227,2.977276353,1.806215085,4.783491438
Bruno Caboclo,MEM,-1.025309063,-0.43595639,-1.461265453,-1.635830093,-0.22628021,-1.862110303
Jose Calderon,DET,6.205008387,-4.010636997,2.19437139,5.519212639,-5.594764889,-0.07555225
Jose Calderon,DET,-3.29096081,-2.279615378,-5.570576188,-4.402370025,-2.628682768,-7.031052793
Kentavious Caldwell-Pope,LAL,1.055465121,0.208492838,1.263957959,0.302269956,-0.066767722,0.235502235
Isaiah Canaan,MIN,2.105806741,-3.205487656,-1.099680915,1.405008947,-4.325135982,-2.920127035
Isaiah Canaan,MIL,-5.059074347,-3.319335438,-8.378409785,-5.717813522,-6.956332218,-12.67414574
Isaiah Canaan,PHO,-2.339567722,-2.358544009,-4.698111731,-1.655320127,-1.51574062,-3.171060747
Clint Capela,HOU,-1.423733689,2.145755917,0.722022228,0.821513366,0.913570733,1.735084098
Clint Capela,HOU,0.946816799,2.161626201,3.108443001,1.575526502,2.180693147,3.75621965
DeMarre Carroll,BRK,-2.720982412,-2.98864328,-5.709625691,-1.498157954,-4.828078875,-6.326236829
DeMarre Carroll,BRK,-0.38522639,-0.801300216,-1.186526607,-0.805940756,-0.9176215,-1.723562257
Jevon Carter,MEM,-2.827583116,0.214045142,-2.613537974,-3.353395146,0.603579769,-2.749815377
Michael Carter-Williams,ORL,-2.506287046,7.51768756,5.011400513,-2.422991022,7.590494889,5.167503867
